delay,întârziere
mechanism,mecanism
registrar,grefier
receipt,primirea
task,sarcina
rebecca,rebecca
lock,blocare
baptist,botezătorul
convertible,cabrio
lowest,cel mai mic
vehicle,vehicul
coating,acoperire
confused,confuz
gentle,blând
core,core
torture,tortura
cow,vaca
hampton,hampton
strengthening,consolidarea
backup,backup
georgia,georgia
lasting,durată
deadline,termenul
nepal,nepal
algorithm,algoritmul
laid,pus
salvation,mântuirea
lloyd,lloyd
second,a doua
swap,swap
colorado,colorado
interracial,interrasial
spoken,vorbit
prisoner,prizonier
employer,angajatorul
basketball,baschet
punishment,pedeapsa
tone,ton
acknowledged,recunoscut
operation,operațiunea
transcript,transcrierea
blair,blair
papua,papua
robin,robin
change,schimba
cry,cry
intimate,intim
loaded,încărcate
producer,producator
inclusive,inclusive
trinidad,trinidad
circulation,circulația
bay,bay
copy,copia
bulgarian,bulgară
lucy,lucy
armenia,armenia
governmental,guvernamentale
serbia,serbia
hill,hill
tall,înalt
mobile,mobile
mighty,puternic
clear,clar
disability,handicap
cookie,cookie
strategy,strategia
numerical,numerice
teacher,profesor
pour,se toarnă
emphasis,accentul
contribute,contribuie
reliance,dependența
leeds,leeds
algebra,algebra
record,record
hypothesis,ipoteza
saint,saint
wireless,wireless
ana,ana
identify,identifica
turning,de cotitură
la,la
mode,modul
tar,tar
learning,de învățare
limitation,limitarea
picture,poza
engaged,angajat
refuse,refuza
lesbian,lesbiene
bass,bass
trainer,antrenor
frank,frank
pike,stiuca
wright,wright
energy,energie
lined,căptușite
earned,a câștigat
installation,instalare
express,express
bruce,bruce
body,corpul
petite,petite
antigua,antigua
optimize,optimizarea
shop,magazin
charles,charles
st,st
suffer,suferi
generic,generic
advisory,consultativ
highland,highland
charged,acuzat
amended,modificat
commitment,angajamentul
die,mor
zone,zona
closure,închidere
reminder,memento
slovakia,slovacia
role,rolul
timeline,cronologie
x,x
commercial,comerciale
dubai,dubai
tag,tag
eagle,eagle
attraction,atracție
vampire,vampir
extraction,extracția
cord,cablul
glenn,glenn
cod,cod
maryland,maryland
coal,cărbune
cookbook,carte de bucate
viking,viking
hidden,ascunse
translation,traducere
tie,cravata
terminal,terminal
steering,de direcție
chrome,chrome
fleece,fleece
emotional,emoțională
cart,cos
september,septembrie
charm,farmec
inventory,inventar
rear,din spate
fast,rapid
align,aliniați
patrick,patrick
bhutan,bhutan
guinea,guineea
aspect,aspect
morning,dimineața
witch,vrăjitoare
maui,maui
conclude,concluzia
laugh,râde
inquiry,anchetă
operator,operator
uncertainty,incertitudine
tier,nivel
punch,punch
builder,constructor
button,buton
furniture,mobilier
copper,cupru
angola,angola
card,card
likely,probabil
meaning,sensul
semester,semestrul
riding,echitatie
extraordinary,extraordinar
injection,injecție
density,densitatea
democracy,democrația
moisture,umezeala
arnold,arnold
murder,crimă
sized,dimensiuni
incident,incidentul
soil,sol
timothy,timothy
netscape,netscape
ribbon,panglica
connection,conexiune
composer,compozitor
evans,evans
convenient,convenabil
approximate,aproximative
fold,ori
composed,compus
headline,titlu
scout,scout
wife,soția
sending,trimite
celebration,sărbătoare
playlist,playlist
played,a jucat
temperature,temperatura
proposition,propunere
disease,boala
closely,strâns
singles,single
adopted,adoptat
routine,rutina
read,citește
correctly,corect
script,script
chapter,capitolul
civilian,civil
scotland,scoția
deployment,implementare
subject,subiect
glory,gloria
fort,fort
denver,denver
charlotte,charlotte
muscle,musculare
montana,montana
normal,normal
workplace,la locul de muncă
effectiveness,eficacitatea
projector,proiector
philosophy,filosofia
venezuela,venezuela
pepper,piper
guest,oaspete
research,cercetare
limit,limita
political,politice
horse,cal
efficiency,eficiența
andrew,andrew
essay,eseu
trouble,probleme
practitioner,practicant
anywhere,oriunde
exotic,exotice
come,vin
v,v
ali,ali
joining,aderarea
feeling,sentimentul
succeed,reuși
attack,atac
percentage,procent
ultimate,final
vocabulary,vocabular
comparable,comparabile
estate,imobiliare
hip,hip
occasionally,ocazional
two,două
competition,concurs
sentence,sentința
vaccine,vaccin
foul,fault
oriented,orientate
adolescent,adolescent
somehow,cumva
demonstrate,demonstra
empirical,empirice
cat,pisica
citation,citare
marker,marker
router,router
museum,muzeul
chip,cip
habitat,habitat
accuracy,precizie
seriously,serios
acceptable,acceptabil
douglas,douglas
pig,porc
reservoir,rezervor
type,tip
surface,suprafata
tooth,dinte
louisiana,louisiana
wax,ceara
lift,lift
fa,fa
mistress,amanta
extremely,extrem de
average,medie
glad,mă bucur că
preparation,pregătirea
acre,acru
vegetation,vegetație
army,armata
surprising,surprinzător
stylus,stylus
momentum,impuls
registered,înregistrați
dancing,dans
hierarchy,ierarhia
spot,la fața locului
shopping,cumpărături
positive,pozitiv
risk,risc
charger,incarcator
ring,inel
gazette,monitorul
sharing,schimbul de
activation,activare
parks,parcuri
bend,bend
ease,usurinta
indirect,indirecte
lot,mult
craft,ambarcațiuni
meeting,întâlnire
breast,san
spotlight,lumina reflectoarelor
colors,culori
guru,guru
luke,luke
have,au
rally,raliu
funded,finanțat
costume,costum
song,cântec
polished,lustruit
public,publice
arkansas,arkansas
prior,înainte
journal,jurnalul
agree,sunt de acord
dating,dating
recognition,recunoașterea
beautifully,frumos
descending,descendent
gas,gaz
recipe,reteta
hand,mână
mark,mark
strip,benzi
virgin,fecioara
framework,cadru
emission,emisii
porter,porter
beijing,beijing
rover,rover
apparel,îmbrăcăminte
messaging,mesaje
reducing,reducerea
complement,completa
designing,proiectarea
initial,inițial
comfort,confort
syracuse,syracuse
benchmark,referință
navigator,navigator
search,căutare
interpreted,interpretat
demographic,demografice
yard,curte
filled,umplut
ram,ram
reload,reload
venue,locul de desfășurare
painting,pictura
under,sub
literacy,alfabetizare
professor,profesorul
beatles,beatles
stephen,stephen
function,funcția
dot,dot
encounter,întâlnire
acceptance,acceptarea
convert,converti
brisbane,brisbane
threaded,filetate
assembly,asamblare
blame,vina
story,povestea
typically,de obicei
lamp,lampa
avon,avon
wednesday,miercuri
institute,institutul
combat,luptă
parent,părinte
manage,gestiona
auburn,auburn
letters,scrisori
chi,chi
dangerous,periculos
launch,lansare
converter,converter
rug,covor
till,până
coordinated,coordonate
mat,mat
paraguay,paraguay
flat,apartament
virtually,practic
night,noapte
bangkok,bangkok
entertaining,divertisment
noon,la prânz
engaging,angajarea
completed,finalizat
shield,scut
importance,importanța
dell,dell
ceremony,ceremonia
resort,resort
quantitative,cantitative
execution,executarea
retained,reținute
special,speciale
fiji,fiji
prediction,predicție
dirt,murdărie
breathing,respirație
powder,pulbere
broad,larg
handbook,manual
wire,sârmă
monitor,monitor
algeria,algeria
flow,fluxul
melissa,melissa
horror,horror
start,începe
guidance,orientare
coupon,cupon
arbor,arbor
canvas,panza
medium,mediu
surge,val
nova,nova
endangered,pe cale de dispariție
add,adauga
fork,furculita
ship,nava
validation,validarea
facial,facial
exist,exista
tan,tan
decision,decizia
poet,poet
association,asociația
rock,rock
athletics,atletism
processing,prelucrare
peace,pace
phi,phi
just,doar
elsewhere,în altă parte
equity,capitaluri proprii
matter,contează
lafayette,lafayette
rendering,redare
arise,apar
get,obține
stand,stand
overall,în general
grill,grill
lying,minciuna
considered,considerat
say,spune
insider,insider
approval,aprobare
ma,ma
roughly,aproximativ
chuck,chuck
times,ori
foot,picior
wonder,e de mirare
kid,copil
wholesale,en-gros
spanking,bataia
polls,sondaje
friendship,prietenia
adult,adult
federation,federația
scheduled,programat
signed,semnat
entertainment,divertisment
shelter,adăpost
dead,mort
fairy,fairy
connected,conectat
development,dezvoltarea
naked,gol
embassy,ambasada
grass,iarba
status,starea
norfolk,norfolk
bones,oasele
albania,albania
life,viața
nerve,nervoase
nose,nas
star,steaua
aim,scopul
predict,prezice
taiwan,taiwan
develop,dezvolta
sec,sec
palm,palma
archives,arhive
enormous,enorm
gallery,galerie
kenya,kenya
chemical,chimice
hands,mâinile
cap,capac
mathematics,matematică
ready,gata
croatia,croația
catholic,catolic
richards,richards
infection,infecție
gift,cadou
webmaster,webmaster
saw,văzut
tennis,tenis
bag,geanta
independent,independent
toronto,toronto
dealing,de-a face
banking,bancar
yacht,iaht
respond,răspunde
strengthen,consolidarea
rose,rose
checked,verificat
tax,fiscale
excessive,excesiv
equal,egal
tiger,tiger
memphis,memphis
fell,a căzut
customer,client
lion,leu
blackjack,blackjack
often,de multe ori
religion,religia
why,de ce
scratch,zero
graduation,absolvire
connectivity,conectivitate
batman,batman
em,le
therapy,terapia
october,octombrie
load,sarcina
dad,tata
pregnant,însărcinată
armor,armura
mayor,primarul
poison,otrava
depend,depinde
candidate,candidat
detected,detectat
bandwidth,lățime de bandă
economy,economia
fetish,fetish
margin,marja
charitable,caritabile
leonard,leonard
commerce,comerț
carroll,carroll
reward,recompensa
dental,dentare
disposition,dispunerea
date,data
announce,anunta
commission,comisia
leadership,conducerea
sensitivity,sensibilitatea
sporting,sportive
